
itm_no_item|НЕТ ПРЕДМЕТА
itm_no_item_pl|НЕТ ПРЕДМЕТА
itm_tutorial_spear|Копье
itm_tutorial_spear_pl|Копье
itm_tutorial_club|Дубина
itm_tutorial_club_pl|Дубина
itm_tutorial_battle_axe|Секира
itm_tutorial_battle_axe_pl|Секира
itm_tutorial_arrows|Стрелы
itm_tutorial_arrows_pl|Стрелы
itm_tutorial_bolts|Болты
itm_tutorial_bolts_pl|Болты
itm_tutorial_short_bow|Длинный Лук
itm_tutorial_short_bow_pl|Длинный Лук
itm_tutorial_crossbow|Арбалет
itm_tutorial_crossbow_pl|Арбалет
itm_tutorial_throwing_daggers|Метательные Копья
itm_tutorial_throwing_daggers_pl|Метательные Копья
itm_tutorial_saddle_horse|Ездовой Пони
itm_tutorial_saddle_horse_pl|Ездовой Пони
itm_tutorial_shield|Круглый Щит
itm_tutorial_shield_pl|Круглый Щит
itm_tutorial_staff_no_attack|Посох
itm_tutorial_staff_no_attack_pl|посох
itm_tutorial_staff|Посох
itm_tutorial_staff_pl|Посох
itm_tutorial_sword|Простой Меч
itm_tutorial_sword_pl|Простой Меч
itm_tutorial_axe|Топор
itm_tutorial_axe_pl|Топор
itm_tutorial_dagger|Длинный Кинжал
itm_tutorial_dagger_pl|Длинный Кинжал
itm_horse_meat|Конина
itm_horse_meat_pl|Конина
itm_practice_sword|Тренировочный Меч
itm_practice_sword_pl|Тренировочный Меч
itm_heavy_practice_sword|Тяжелый Тренировочный Меч
itm_heavy_practice_sword_pl|Тяжелый Тренировочный Меч
itm_practice_dagger|Тренировочный Длинный Кинжал
itm_practice_dagger_pl|Тренировочный Длинный Кинжал
itm_practice_axe|Тренировочный Тяжелый Топор
itm_practice_axe_pl|Тренировочный Тяжелый Топор
itm_arena_axe|Топор
itm_arena_axe_pl|Топор
itm_arena_sword|Меч
itm_arena_sword_pl|Меч
itm_arena_sword_two_handed|Двуручный Меч
itm_arena_sword_two_handed_pl|Двуручный Меч
itm_arena_lance|Копье
itm_arena_lance_pl|Копье
itm_practice_staff|Тренировочный Посох
itm_practice_staff_pl|Тренировочный Посох
itm_practice_lance|Тренировочное Копье
itm_practice_lance_pl|Тренировочное Копье
itm_practice_shield|Тренировочный Щит
itm_practice_shield_pl|Тренировочный Щит
itm_practice_bow|Тренировочный Длинный Лук
itm_practice_bow_pl|Тренировочный Длинный Лук
itm_practice_crossbow|Тренировочная Праща
itm_practice_crossbow_pl|Тренировочная Праща
itm_practice_javelin|Тренировочные Метательные Копья
itm_practice_javelin_pl|Тренировочные Метательные Копья
itm_practice_javelin_melee|Тренировочное Копье
itm_practice_javelin_melee_pl|Тренировочное Копье
itm_practice_throwing_daggers|Тренировочные Копья
itm_practice_throwing_daggers_pl|Тренировочные Копья
itm_practice_throwing_daggers_100_amount|Тренировочные Копья
itm_practice_throwing_daggers_100_amount_pl|Тренировочные Копья
itm_practice_horse|Тренировочный Ездовой Пони
itm_practice_horse_pl|Тренировочный Ездовой Пони
itm_practice_arrows|Тренировочные Стрелы
itm_practice_arrows_pl|Тренировочные Стрелы
itm_practice_bolts|Камни для Пращи
itm_practice_bolts_pl|Камни для Пращи
itm_practice_arrows_10_amount|Тренировочные Стрелы
itm_practice_arrows_10_amount_pl|Тренировочные Стрелы
itm_practice_arrows_100_amount|Тренировочные Стрелы
itm_practice_arrows_100_amount_pl|Тренировочные Стрелы
itm_practice_bolts_9_amount|Тренировочные Болты
itm_practice_bolts_9_amount_pl|Тренировочные Болты
itm_practice_boots|Тренировочные Болты
