
dlga_start:blocked_agent|Похоже, этот человек занят. Нужно идти дальше.
dlga_blocked_agent:close_window|Простите, что потревожил вас.
dlga_blocked_agent:close_window.1|[Уйти]
dlga_start:dog_talk_2|{s1}!
dlga_dog_talk_1:dog_talk_2|{s1}!
dlga_dog_talk_2:close_window|К ноге!
dlga_dog_talk_2:close_window.1|Вперед, {s1}, вперед!
dlga_dog_talk_2:close_window.2|{s1}, стой!
dlga_dog_talk_2:dog_talk_pretrain|Эй, у меня для тебя кое-что есть...
dlga_dog_talk_2:close_window.3|Я назову тебя...
dlga_dog_talk_2:close_window.4|Чертова псина! Убирайся! Ты мне больше не нужна!
dlga_dog_talk_2:close_window.5|Фу! Оставь!
dlga_start:dog_talk_recruit|   
dlga_dog_talk_recruit:dog_talk_1|Вот, держи колбаску!
dlga_dog_talk_recruit:close_window|Хороший пёс!
dlga_dog_talk_recruit:close_window.1|Прочь!
dlga_dog_talk_pretrain:dog_talk_train|Эй, у меня есть кое-что для тебя...
dlga_dog_talk_train:dog_talk_pretrain|Что-то ты у меня плоховато выглядишь. Держи {s7}, это тебе!
dlga_dog_talk_train:dog_talk_pretrain.1|Лови {s7}, теперь ты наберешься сил!
dlga_dog_talk_train:dog_talk_pretrain.2|Я хочу, чтобы мой пёс стал злее. Держи {s7}, это пойдет тебе только на пользу!
dlga_dog_talk_train:dog_talk_pretrain.3|Что-то ты у меня похудел, пёс. Держи {s7}, это тебе!
dlga_dog_talk_train:dog_talk_pretrain.4|Что ты еле плетешься? Держи-ка {s7}, это тебе!
dlga_dog_talk_train:dog_talk_pretrain.5|Держи-ка {s7}, это тебе! Чтобы зубы были крепче.
dlga_dog_talk_train:dog_talk_1|Извини, у меня нет для тебя еды.
dlga_dog_talk_train:dog_talk_1.1|Тебе на сегодня хватит.
dlga_start:close_window.1|Вы должны попрощаться с матерью и оставить что-нибудь, что, возможно, ей понадобится по пути в Вальхаллу.
dlga_start:close_window.2|Я жду того, кто придет с девушкой. Видели их?
